Tracking Domain,Old Consent Category,New Consent Category,Vendor Name,Tracker Type,Tracker Name,Tracker Purpose,Tracker Purpose (Source),Vendor Description,Tracker Duration
d.line-scdn.net,Functional Cookies,Performance Cookies [Requires consent],LY Corporation (formerly LINE Corporation),ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," A Japanese internet company best known for its messaging app, LINE.",
d3gjxtgqyywct8.cloudfront.net,Functional Cookies,Performance Cookies [Requires consent],Amazon (Cloudfront),ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"
Amazon CloudFront is a content delivery network (CDN) service that securely delivers data, videos, applications, and APIs to your viewers with low latency and high transfer speeds.
<br><a href=https://aws.amazon.com/terms/?nc1=f_pr target=_blank aria-label=""Amazon (Cloudfront) Terms and Conditions"">Terms and Conditions</a>
<br>",
diz36nn4q02zr.cloudfront.net,Functional Cookies,Performance Cookies [Requires consent],Amazon (Cloudfront),ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"
Amazon CloudFront is a content delivery network (CDN) service that securely delivers data, videos, applications, and APIs to your viewers with low latency and high transfer speeds.
<br><a href=https://aws.amazon.com/terms/?nc1=f_pr target=_blank aria-label=""Amazon (Cloudfront) Terms and Conditions"">Terms and Conditions</a>
<br>",
fcm2.holmesmind.com,Functional Cookies,Performance Cookies [Requires consent],DoubleMax Technology,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,A technology company,
fts-api.91app.com,Functional Cookies,Performance Cookies [Requires consent],91App,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc, Provides mobile commerce solutions.,
fts-api.91app.com,Functional Cookies,Performance Cookies [Requires consent],91App,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides mobile commerce solutions.,
holmesmind.com,Functional Cookies,Performance Cookies [Requires consent],DoubleMax Technology,HTTP Cookie,C,Used to determine if browser of user accepts cookies or not,TrustArc ,A technology company,
js-package.s3.ap-northeast-1.amazonaws.com,Functional Cookies,Performance Cookies [Requires consent],Amazon (Web Services),JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Amazon Web Services provides a reliable, scalable, low-cost infrastructure platform in the cloud with hundreds of thousands of businesses in 190 countries.
<br><a href=https://aws.amazon.com/terms/?nc1=f_pr target=_blank aria-label=""Amazon (Web Services) Terms and Conditions"">Terms and Conditions</a>
<br>",
js-package.s3.ap-northeast-1.amazonaws.com,Functional Cookies,Performance Cookies [Requires consent],Amazon (Web Services),ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Amazon Web Services provides a reliable, scalable, low-cost infrastructure platform in the cloud with hundreds of thousands of businesses in 190 countries.
<br><a href=https://aws.amazon.com/terms/?nc1=f_pr target=_blank aria-label=""Amazon (Web Services) Terms and Conditions"">Terms and Conditions</a>
<br>",
line.me,Functional Cookies,Performance Cookies [Requires consent],LINE,HTTP Cookie,_ldbrbid,Used for delivery of ads,TrustArc ," A messaging app offering free messaging, voice calls, and video calls.",
log.api.useinsider.com,Functional Cookies,Performance Cookies [Requires consent],Insider,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc,"Insider is an integrated Growth Management Platform (GMP) that helps digital marketers drive growth across the funnel, from Acquisition to Activation, Retention and Revenue, by leveraging predictive segmentation technologies. <br><a href=https://useinsider.com/terms-of-use/ target=_blank aria-label=""Insider Terms and Conditions"">Terms and Conditions</a> <br><a href=https://useinsider.com/privacy-policy/ target=_blank aria-label=""Insider Data Subject Rights"">Data Subject Rights</a> <br>",
m.holmesmind.com,Functional Cookies,Performance Cookies [Requires consent],DoubleMax Technology,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,A technology company,
mapping-tracker.accuhit.com.tw,Functional Cookies,Performance Cookies [Requires consent],Accuhit,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Provides data-driven marketing solutions.,
mapping-tracker.accuhit.com.tw,Functional Cookies,Performance Cookies [Requires consent],Accuhit,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides data-driven marketing solutions.,
mt.holmesmind.com,Functional Cookies,Performance Cookies [Requires consent],DoubleMax Technology,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,A technology company,
official-static.91app.com,Functional Cookies,Performance Cookies [Requires consent],91App,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Provides mobile commerce solutions.,
official-static.91app.com,Functional Cookies,Performance Cookies [Requires consent],91App,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides mobile commerce solutions.,
CLIENT_Xtw.api.useinsider.com,Functional Cookies,Performance Cookies [Requires consent],Insider,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Insider is an integrated Growth Management Platform (GMP) that helps digital marketers drive growth across the funnel, from Acquisition to Activation, Retention and Revenue, by leveraging predictive segmentation technologies. <br><a href=https://useinsider.com/terms-of-use/ target=_blank aria-label=""Insider Terms and Conditions"">Terms and Conditions</a> <br><a href=https://useinsider.com/privacy-policy/ target=_blank aria-label=""Insider Data Subject Rights"">Data Subject Rights</a> <br>",
CLIENT_Xtw.api.useinsider.com,Functional Cookies,Performance Cookies [Requires consent],Insider,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Insider is an integrated Growth Management Platform (GMP) that helps digital marketers drive growth across the funnel, from Acquisition to Activation, Retention and Revenue, by leveraging predictive segmentation technologies. <br><a href=https://useinsider.com/terms-of-use/ target=_blank aria-label=""Insider Terms and Conditions"">Terms and Conditions</a> <br><a href=https://useinsider.com/privacy-policy/ target=_blank aria-label=""Insider Data Subject Rights"">Data Subject Rights</a> <br>",
shop.r10s.com,Functional Cookies,Performance Cookies [Requires consent],Rakuten,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A Japanese e-commerce and online retail company.,
static-web.cdn.91app.com,Functional Cookies,Performance Cookies [Requires consent],91App,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides mobile commerce solutions.,
static.91app.com,Functional Cookies,Performance Cookies [Requires consent],91App,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides mobile commerce solutions.,
t.holmesmind.com,Functional Cookies,Performance Cookies [Requires consent],DoubleMax Technology,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,A technology company,
tr.line.me,Functional Cookies,Performance Cookies [Requires consent],LINE,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc," A messaging app offering free messaging, voice calls, and video calls.",
track.91app.io,Functional Cookies,Performance Cookies [Requires consent],91App,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc, Provides mobile commerce solutions.,
track.91app.io,Functional Cookies,Performance Cookies [Requires consent],91App,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Provides mobile commerce solutions.,
track.91app.io,Functional Cookies,Performance Cookies [Requires consent],91App,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides mobile commerce solutions.,
track.91app.io,Functional Cookies,Performance Cookies [Requires consent],91App,HTTP Cookie,deviceid, Tracks a unique identifier for the user's device.,TrustArc , Provides mobile commerce solutions.,
tremorhub.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],"Magnite CTV, Inc.",HTTP Cookie,tv_UICR,Collects information on user behaviour on multiple websites. This information is used in order to optimize the relevance of advertisement on the website.,TrustArc ,"
<!-- New org name base in IAB Masterlist 113 -->
Magnite CTV, Inc. is a data-driven software platform built to monetize and manage video inventory with the speed, control, and transparency, wherever and however audiences watching.
<br><a href=https://telaria.com/privacy-policy/ target=_blank aria-label=""Magnite CTV, Inc. Data Subject Rights"">Data Subject Rights</a>
<br>",
collection.decibelinsight.net,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Medallia,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Medallia provides software-as-a-service customer experience management.
<br><a href=https://www.medallia.com/terms-of-use/ target=_blank aria-label=""Medallia Terms and Conditions"">Terms and Conditions</a>
<br>",
gqyb5gyxjasjwzntcnka-pbteca-1e51d1674-clientnsv4-s.akamaihd.net,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Akamai,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Akamai is a provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device.
<br><a href=https://www.akamai.com/us/en/privacy-policies/portal-terms.jsp target=_blank aria-label=""Akamai Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.akamai.com/content/dam/site/en/documents/akamai/akamai-privacy-statement.pdf target=_blank aria-label=""Akamai Data Subject Rights"">Data Subject Rights</a>
<br>",
linkedin.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],LinkedIn,HTTP Cookie,bcookie,To store browser details.,TrustArc ,"LinkedIn is a business- and employment-oriented social networking service that operates via websites and mobile apps.
<br><a href=https://www.linkedin.com/legal/user-agreement?trk=homepage-basic_footer-user-agreement target=_blank aria-label=""LinkedIn Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.linkedin.com/legal/privacy-policy?trk=homepage-basic_footer-privacy-policy target=_blank aria-label=""LinkedIn Data Subject Rights"">Data Subject Rights</a>
<br>",
CLIENT_Xgb.api.useinsider.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Insider,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Insider is an integrated Growth Management Platform (GMP) that helps digital marketers drive growth across the funnel, from Acquisition to Activation, Retention and Revenue, by leveraging predictive segmentation technologies. <br><a href=https://useinsider.com/terms-of-use/ target=_blank aria-label=""Insider Terms and Conditions"">Terms and Conditions</a> <br><a href=https://useinsider.com/privacy-policy/ target=_blank aria-label=""Insider Data Subject Rights"">Data Subject Rights</a> <br>",
CLIENT_Xgb.api.useinsider.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Insider,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Insider is an integrated Growth Management Platform (GMP) that helps digital marketers drive growth across the funnel, from Acquisition to Activation, Retention and Revenue, by leveraging predictive segmentation technologies. <br><a href=https://useinsider.com/terms-of-use/ target=_blank aria-label=""Insider Terms and Conditions"">Terms and Conditions</a> <br><a href=https://useinsider.com/privacy-policy/ target=_blank aria-label=""Insider Data Subject Rights"">Data Subject Rights</a> <br>",
cdn.acsbapp.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],accessiBe,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides web accessibility solutions to ensure websites are compliant with accessibility standards.,
channelsightstorage.blob.core.windows.net,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Microsoft,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Microsoft is an American multinational technology corporation which produces computer software, consumer electronics, personal computers, and related services.
<br><a href=https://www.microsoft.com/en-us/legal/intellectualproperty/copyright/default.aspx target=_blank aria-label=""Microsoft Terms and Conditions"">Terms and Conditions</a>
<br>",
img1.wsimg.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Wild West Domains,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, A domain name registration service.,
img1.wsimg.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Wild West Domains,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A domain name registration service.,
partner.googleadservices.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Advertising Products,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Advertising Products Terms and Conditions"">Terms and Conditions</a>
<br>",
pixel.byspotify.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Spotify,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," A digital music, podcast, and video streaming service.",
pixel.byspotify.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Spotify,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original," A digital music, podcast, and video streaming service.",
where-to-buy.co,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],ChannelAdvisor,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, Provides cloud-based e-commerce solutions to help retailers and brands improve their online performance.,
www.adsensecustomsearchads.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Inc.,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",
www.adsensecustomsearchads.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Inc.,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",
www.google.com,Functional Cookies,Performance Cookies [Requires consent],Google Inc.,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",
t.co,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Twitter,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,," A social networking service where users post and interact with messages known as ""tweets"".",
t.co,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Twitter,HTTP Cookie,muc_ads,"These cookies are placed when you come to our website via X. A cookie from X is also placed on our website, with which we can later show a relevant offer on X",TrustArc ," A social networking service where users post and interact with messages known as ""tweets"".",
twitter.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Twitter,HTTP Cookie,guest_id,This cookie is for authentication.,TrustArc ," A social networking service where users post and interact with messages known as ""tweets"".",
analytics.twitter.com,Functional Cookies,Performance Cookies [Requires consent],Twitter,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc," A social networking service where users post and interact with messages known as ""tweets"".",
www.ledsavingscalculator.CLIENT_X.co.uk,Functional Cookies,Performance Cookies [Requires consent],Signify (formerly CLIENT_X Lighting),Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,TrustArc,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
prefmgr-cookie.truste-svc.net,Required Cookies,Essential cookies (exempt from consent),TrustArc,HTTP Cookie,cookie_3rdparty,"This cookie is used by TrustArc for managing user consent preferences regarding third-party cookies and online tracking, ensuring compliance with privacy regulations and empowering users with control over their online privacy choices.",FR Original,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.
<br><a href=https://trustarc.com/terms-of-use/ target=_blank aria-label=""TrustArc Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://trustarc.com/privacy/ target=_blank aria-label=""TrustArc Data Subject Rights"">Data Subject Rights</a>
<br>",
consent-pref.trustarc.com,Required Cookies,Essential cookies (exempt from consent),TrustArc,HTTP Cookie,token_test,"This cookie is employed by TrustArc for verifying users' consent status, facilitating effective management of privacy preferences and adherence to data protection regulations on websites.",FR Original,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.
<br><a href=https://trustarc.com/terms-of-use/ target=_blank aria-label=""TrustArc Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://trustarc.com/privacy/ target=_blank aria-label=""TrustArc Data Subject Rights"">Data Subject Rights</a>
<br>",
consent.trustarc.com,Required Cookies,Essential cookies (exempt from consent),TrustArc,Beacon,,This beacon is intended to track web usage and send collected information to the vendor.,FR Original,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.
<br><a href=https://trustarc.com/terms-of-use/ target=_blank aria-label=""TrustArc Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://trustarc.com/privacy/ target=_blank aria-label=""TrustArc Data Subject Rights"">Data Subject Rights</a>
<br>",
consent-pref.trustarc.com,Required Cookies,Essential cookies (exempt from consent),TrustArc,ETag,,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.
<br><a href=https://trustarc.com/terms-of-use/ target=_blank aria-label=""TrustArc Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://trustarc.com/privacy/ target=_blank aria-label=""TrustArc Data Subject Rights"">Data Subject Rights</a>
<br>",
prefmgr-cookie.truste-svc.net,Required Cookies,Essential cookies (exempt from consent),TrustArc,ETag,,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"TrustArc provides privacy compliance and risk management with integrated technology, consulting and TRUSTe certification solutions.
<br><a href=https://trustarc.com/terms-of-use/ target=_blank aria-label=""TrustArc Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://trustarc.com/privacy/ target=_blank aria-label=""TrustArc Data Subject Rights"">Data Subject Rights</a>
<br>",
CLIENT_X.112.2o7.net,Functional Cookies,Performance Cookies [Requires consent],Adobe Experience Cloud - Analytics,ETag,,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Adobe Analytics is a solution for applying real-time analytics and detailed segmentation across all of your marketing channels.
<br><a href=https://www.adobe.com/legal/terms.html target=_blank aria-label=""Adobe Experience Cloud - Analytics Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.adobe.com/privacy/policy.html#rights target=_blank aria-label=""Adobe Experience Cloud - Analytics Data Subject Rights"">Data Subject Rights</a>
<br>",400
checkoutshopper-live.adyen.com,Required Cookies,Essential cookies (exempt from consent),Adyen,Local Storage,dfValue,Information from the shopper's device and uses the combined value to identify the device of the shopper.Used in the following risk checks: Shopper initiated a transaction more than X times within a time period,FR Original,"Adyen is a Dutch payment company with the status of an acquiring bank that allows businesses to accept e-commerce, mobile, and point-of-sale payments.
<br><a href=https://www.adyen.com/legal/terms-and-conditions target=_blank aria-label=""Ayden - Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.adyen.com/policies-and-disclaimer/privacy-policy target=_blank aria-label=""Ayden - Data Subject Rights"">Data Subject Rights</a>
<br>",
checkoutshopper-live.adyen.com,Required Cookies,Essential cookies (exempt from consent),Adyen,Local Storage,dfValue,Information from the shopper's device and uses the combined value to identify the device of the shopper.Used in the following risk checks: Shopper initiated a transaction more than X times within a time period,FR Original,"Adyen is a Dutch payment company with the status of an acquiring bank that allows businesses to accept e-commerce, mobile, and point-of-sale payments.
<br><a href=https://www.adyen.com/legal/terms-and-conditions target=_blank aria-label=""Ayden - Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.adyen.com/policies-and-disclaimer/privacy-policy target=_blank aria-label=""Ayden - Data Subject Rights"">Data Subject Rights</a>
<br>",
checkoutshopper-live.adyen.com,Required Cookies,Essential cookies (exempt from consent),Adyen,ETag,,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Adyen is a Dutch payment company with the status of an acquiring bank that allows businesses to accept e-commerce, mobile, and point-of-sale payments.
<br><a href=https://www.adyen.com/legal/terms-and-conditions target=_blank aria-label=""Ayden - Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.adyen.com/policies-and-disclaimer/privacy-policy target=_blank aria-label=""Ayden - Data Subject Rights"">Data Subject Rights</a>
<br>",
d3c39yxulteaif.cloudfront.net,Required Cookies,Essential cookies (exempt from consent),Amazon (Cloudfront),JavaScript,,Javascript is used to download functionality from the vendor on the browser.,FR Original,"
Amazon CloudFront is a content delivery network (CDN) service that securely delivers data, videos, applications, and APIs to your viewers with low latency and high transfer speeds.
<br><a href=https://aws.amazon.com/terms/?nc1=f_pr target=_blank aria-label=""Amazon (Cloudfront) Terms and Conditions"">Terms and Conditions</a>
<br>",
display.ugc.bazaarvoice.com,Required Cookies,Essential cookies (exempt from consent),Bazaarvoice,Local Storage,bvf_23919_user,"Identifies items for which a user has submitted feedback, such as Helpfulness vote. <id> is the ID of the user-generated content (UGC) that the user left feedback on.",FR Original,"
Bazaarvoice is a leading provider of customer reviews, ratings, and user-generated content (UGC) solutions for businesses. 
<br><a href=https://www.bazaarvoice.com/legal/terms-of-use/ target=_blank aria-label=""Bazaarvoice Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.bazaarvoice.com/legal/privacy-policy=_blank aria-label=""Bazaarvoice Data Subject Rights"">Data Subject Rights</a>
<br>",
display.ugc.bazaarvoice.com,Required Cookies,Essential cookies (exempt from consent),Bazaarvoice,Local Storage,keys,"The cookie enables the display and interactive presentation of user-generated content, fostering transparency, trust, and an enhanced user experience on the website.",FR Original,"
Bazaarvoice is a leading provider of customer reviews, ratings, and user-generated content (UGC) solutions for businesses. 
<br><a href=https://www.bazaarvoice.com/legal/terms-of-use/ target=_blank aria-label=""Bazaarvoice Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.bazaarvoice.com/legal/privacy-policy=_blank aria-label=""Bazaarvoice Data Subject Rights"">Data Subject Rights</a>
<br>",
analytics-static.ugc.bazaarvoice.com,Required Cookies,Essential cookies (exempt from consent),Bazaarvoice,ETag,,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"
Bazaarvoice is a leading provider of customer reviews, ratings, and user-generated content (UGC) solutions for businesses. 
<br><a href=https://www.bazaarvoice.com/legal/terms-of-use/ target=_blank aria-label=""Bazaarvoice Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.bazaarvoice.com/legal/privacy-policy=_blank aria-label=""Bazaarvoice Data Subject Rights"">Data Subject Rights</a>
<br>",
display.ugc.bazaarvoice.com,Required Cookies,Essential cookies (exempt from consent),Bazaarvoice,ETag,,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"
Bazaarvoice is a leading provider of customer reviews, ratings, and user-generated content (UGC) solutions for businesses. 
<br><a href=https://www.bazaarvoice.com/legal/terms-of-use/ target=_blank aria-label=""Bazaarvoice Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.bazaarvoice.com/legal/privacy-policy=_blank aria-label=""Bazaarvoice Data Subject Rights"">Data Subject Rights</a>
<br>",
photos-eu.bazaarvoice.com,Required Cookies,Essential cookies (exempt from consent),Bazaarvoice,ETag,,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"
Bazaarvoice is a leading provider of customer reviews, ratings, and user-generated content (UGC) solutions for businesses. 
<br><a href=https://www.bazaarvoice.com/legal/terms-of-use/ target=_blank aria-label=""Bazaarvoice Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.bazaarvoice.com/legal/privacy-policy=_blank aria-label=""Bazaarvoice Data Subject Rights"">Data Subject Rights</a>
<br>",
cdn.channelsight.com,Required Cookies,Essential cookies (exempt from consent),ChannelSight,ETag,,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"ChannelSight's B2B SaaS eCommerce platform enables brands, publishers and broadcasters to generate new revenue streams from digital content.
<br><a href=https://www.channelsight.com/terms/ target=_blank aria-label=""ChannelSight Terms and Conditions"">Terms and Conditions</a>
<br>",
.google.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Inc.,HTTP Cookie,__Secure-ENID,"This cookie is set by Google and is used to store user preferences and information, such as language preferences and customized search results.",FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",395
.CLIENT_X.com,Functional Cookies,Performance Cookies [Requires consent],Google Inc.,HTTP Cookie,_ga,Google Analytics Cookie used to distinguish users.,FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",400
.CLIENT_X.com,Functional Cookies,Performance Cookies [Requires consent],Google Inc.,HTTP Cookie,_gat_UA-200342981-1,The plugin sends a request to stats.g.doubleclick.net that is used to enable advertising features. The plugin creates a new cookie named _gat that has a one minute timeout. This cookie does not store any user information; it's just used to limit the number of requests that have to be made to doubleclick.net.,FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",session
.CLIENT_X.com,Functional Cookies,Performance Cookies [Requires consent],Google Inc.,HTTP Cookie,_gid,Google Analytics Cookie used to distinguish users.,FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",1
www.google.com,Functional Cookies,Essential cookies (exempt from consent),Google Inc.,HTTP Cookie,_GRECAPTCHA,reCAPTCHA sets a necessary cookie (_GRECAPTCHA) when executed for the purpose of providing its risk analysis of the interaction being fraudulent.,FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",179
.google.com,Functional Cookies,Essential cookies (exempt from consent),Google Inc.,HTTP Cookie,AEC,"The ï¿½pm_sessï¿½, ï¿½YSCï¿½, and ï¿½AECï¿½ cookies ensure that requests within a browsing session are made by the user, and not by other sites. These cookies prevent malicious sites from acting on behalf of a user without that userï¿½s knowledge.",FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",180
.google.com,Functional Cookies,Essential cookies (exempt from consent),Google Inc.,HTTP Cookie,CONSENT,"Google uses the ï¿½CONSENTï¿½ cookie, which lasts for 2 years, to store a userï¿½s state regarding their cookies choices",FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",400
www.google.com,Functional Cookies,Essential cookies (exempt from consent),Google Inc.,Local Storage,rc::a,This cookie is used to distinguish between humans and bots.,FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",
